product_name,product_description,product_domain
Dyte,Dyte provides the easiest way to add real-time communications using video and audio to your apps and platforms.,IT Services and IT Consulting
Kirana Bazaar,Kirana Bazaar is a neighborhood store network that changes the shopping experience.,Oline grocery
Phool,Phool is a biomaterial startup.,Enviromental Engineering
Doceree,Doceree is a fully integrated programmatic ad exchange for data-driven marketing exclusively to physician,Information Technology & Services
Acko,Acko is a digital insurance company with a license to underwrite and distribute bite-sized insurance products,Health insurance
FirstCry,FirstCry is an online shopping store offering a range of baby care products and toys.,Online shopping
Meesho,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,Online shopping
NoBroker,"NoBroker is a real-estate platform that makes it possible to buy, sell, or rent a house without paying any brokerage",Housing rent
Paytm,Paytm is a digital payments start-up that offers innovative and intuitive digital products and services for customers and merchants,Financial services
ShareChat,ShareChat is a social networking and regional content platform.,Social networking
Spinny,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,Financial services
Swiggy,Swiggy is a food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,Food delivery platform
Unacademy,Unacademy is an online learning platform that provides educational content such as video lectures and examinations.,E-learning
Urban Company,Urban Company provides a marketplace for freelance labor,E-commerce
Xpressbees,Xpressbees is an e-commerce logistics company that offers customized express delivery services.,E-commerce Logistics
Accel,Accel is an early and growth-stage venture capital firm that helps a global community of entrepreneurs.,Financial services
MTR Foods,MTR Foods is a food products company,Food packaging
Oyo,OYO is a global travel tech company that connects its patrons and guests.,Travel Arrangements
Eruditus,Eruditus provides global access to executive education programs.,Education Management
Ola,Ola is a mobility platform and ride-hailing company that integrates city transportation for customers and driver partners.,Travel Arrangements
DailyHunt,DailyHunt develops a mobile application software that gives updates on trending topics.,Media
CARS24,CARS24 offers a tech-enabled marketplace for buying and selling pre-owned cars,Automobile
Pine Labs,Pine Labs is a merchant commerce platform that provides financing and last-mile retail transaction technology to merchants.,Information Technology & Services
BharatPe,"BharatPe is a financial services platform that processes payments via UPI and POS, and provides credit or loans to their merchants.",Financial services
Blackbuck,Blackbuck is an Indian logistics company that makes trucking simple for every shipper and trucker.,Information services
Droom,Droom is a tech and data science-driven online automobile marketplace.,Automotive
MindTickle,MindTickle is a software company that offers sales readiness and enablement tools for businesses.,Software company
Vedantu,Vedantu is an interactive online tutoring platform for students.,E-learning
CoinDCX,CoinDCX operates as a cryptocurrency exchange aggregator.,Currency exchange
Razorpay,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",Financial services
Licious,Licious is an online meat and seafood ordering startup that follows an end-to-end business.,Food
CoinSwitch Kuber,CoinSwitch Kuber is a cryptocurrency exchange platform allowing its users to buy and sell cryptocurrencies.,Financial services
Zeta,Zeta is a modern banking tech company providing modern core and processing for FIs and embeddable banking for fintech and distributors,Financial services
Rebel Foods,"Rebel Foods Private Limited, also popularly known as Faasos",Online food service
Gupshup,Gupshup enables better customer engagement through conversational messaging.,Service provider
IndiQube,"IndiQube is a universe of offerings catering to the holistic needs of Enterprises, Unicorn startups, Offshore Development Centres & Solopreneurs",Design
Verse Innovation,Verse Innovation facilitates content curation and tracks user preferences through recommendation tools.,Internet Publishing
Lenskart,Lenskart is an India-based online shopping portal for eyewear.,E-commerce
Upstox,Upstox is a fin-tech company to allow innovative investment options for its users.,Financial services
Appsforbharat,AppsForBharat develops a range of mobile apps for the spiritual and devotional needs of Indian users.,Information technology
OkCredit,OkCredit simplifies credit account management for shop owners and their customers.,Financial services
Livspace,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and product",E-commerce
Rigi,Rigi is a tour and travel firm that provides transport facilities to adventure and entertainment locations.,Tourism
MobiKwik,"MobiKwik is Indias leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.",Financial services
Amagi Media Labs,Amagi Media Labs is a tech and media startup that facilitates the geographic targeting of TV advertisements.,Media andEntertainment
Myntra,"Myntra is an e-commerce platform for buying branded footwear, apparel, and accessories for men and women.",E-commerce
Philips Electronics,"Philips Electronics is a company whose activities cover all aspects of healthcare and well-being, with a focus on improving people's lives.",Electronics
WayCool,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products",Food processing
MoEngage,MoEngage is an internet company that features cloud-based marketing services for consumer businesses.,Information technology
Mahindra Logistics,Supply chain management and corporate people transport solution,Logistics
Enphase Energy,Enphase Energy offers a micro-inverter system that delivers solar energy to homes and businesses.,Solar
Allegis Group,A Global Network of Staffing Services.,Human resources
Slice,Slice is a provider of tools for pizzerias to manage the digital side of their businesses.,Food &bevrages
Tata Digital,Tata Digital build consumer-centric digital businesses for deep consumer engagement and their needs across multiple verticals.,Internet
UpGrad,UpGrad is an online higher education platform providing various program,E-learnig
Hitachi,Hitachi is engaged in the manufacture and sale of electronic and electrical products worldwide,Industrial Manufacturing
Chargebee,Chargebee provides subscription and recurring billing systems for SaaS and e-commerce businesses.,Software
Fivetran,Fivetran is a technology company that helps analysts replicate data into a cloud warehouse.,Analytics
Euler,Euler is a capital-efficient permissionless lending protocol that helps users to earn interest on their crypto assets.,Financial services
Ecom Express,"Ecom Express is a logistics solutions company that allows for customization, scalability, and delivery service processing.",Logistics
Wooden Street,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,Home decor
Chalo,Chalo develops a transport application that delivers real-time transit information,Information technology
FreshMenu,FreshMenu offers food delivery service that provides fresh and tasty cuisines of the highest standard.,Food processing
Nykaa,Nykaa is an online marketplace for different beauty and wellness products.,"Beauty,Fashion"
Classplus,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,E-learning
Skillmatics,Skillmatics provides education products and learning games for children in pre-school and primary school who are under the age of ten,Education
Mamaearth,Mamaearth is a personal care brand that specializes in baby and toddler products.,"Health, Wellness"
Digits,Digits is a fintech company building tools for businesses and finance professionals by leveraging its proprietary Living Model technology.,Accounting
DealShare,DealShare is a fast growing social e-commerce startup,E-commerce
Mylab Discovery Solutions,Mylab Discovery Solutions is provides a portfolio of diagnostic kits for pathogen detection and viral load monitoring.,"Health,wellness"
Securden,Securden is a Windows Privilege Management Software,Artificial Intelligence
Doubtnut,"Doubtnut operates as an e-learning platform that enables users to ask study questions in Physics, Chemistry, and Math.",Education
Whitehar Jr,Whitehar Jr - leading and best computer programming learning websites teaching kids to code.,Information technology
Frigate,"Frigate provides fabrication, 3D printing, and CNC machining services quickly, risk-free and affordable for OEMs, SMEs, and startups.",Manufacturing
Leaf Round,Leaf Round is a marketplace for leasing that provides investors options to buy assets and rent to businesses.,Financial services
Wildermart,Wildermart is a healthy and sustainable grocery store startup.,Food and bevrages
Myraah,Myraah uses AI to help SMEs create web presence in English and several Indian languages,Web design
GROWiT,Agri Tech & Manufacturing,Manufacturing
Lauriko,Lauriko is a Manufacture of food products and beverages company.,"Health,wellness"
Hbox,We are developing therapies based on the principle of minimally invasive targeted hyperoxygenation,Healthcare
iTribe,"iTribe is a one-stop solution for customers to get news related to stocks, advisors, and investment ideas",Financial services
Zipy,"Zipy provides a platform for e-commerce that allows users to shop from Ebay, Amazon, Aliexpress, or Walmart.",E-commerce
Pratech Brands,Pratech Brands is a digital-first house of brands that takes pride in uncovering consumer needs and building consumer brands.,Internet
Glip,Glip is a creator tool suite for gamers to create and monetise.,Software
Hubble,"A platform to search, set up, and manage your hybrid workplace",Commercial Real State
Eximpe,Axel Wehr and Rohit M.A.,Arjun Zacharia
Limechat,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,Software
Medisage,"Medisage Connect with Global doctors, watch video case studies by subject matter experts",Healthcare
Spyne,Spyne is a Deep Tech startup helping businesses and marketplaces create and upgrade high-quality product images and videos at scale with AI.,Software
Stockal,Stockal is the platform for cross-border savings and investments.,Finance
YouKraft,YouKraft is an e-commerce marketplace for all things interio,Publishing
EPNS,BR Capital and LD Capital,"Harsh Rajat, Richa Joshi"
Securden,Securden is a Windows Privilege Management Software,Artificial Intelligence
Mesh,Mesh is a social performance management platform for today's workforce.,Enterprise Software
Last9,Last9 is a Site Reliability Engineering platform that helps improve production systems.,Software
